Timestamp,Title (100),Title Korean (100),Description (255),Description Korean (255),About,About Korean,Open Hour,Close Hour,Cover Image (Link),Thumbnail Image (Link),Category
1/26/2023 7:17:03,Delhi Darbar,Delhi Darbar,Indian restaurant,인도 레스토랑,"Dear Guest, Welcome to 'Delhi Darbar' which means 'Delhi Palace' in Hindi. Our food is the best Indian food in UB. We use healthy hurbs from India. Our chef has many years of experience in Indian cuisine and has two branches in Ulaanbaatar","친애하는 손님, 힌디어로 'Delhi Palace'를 의미하는 'Delhi Darbar'에 오신 것을 환영합니다. 우리 음식은 UB에서 최고의 인도 음식입니다. 인도의 건강한 허브를 사용합니다. 저희 셰프는 인도 요리 분야에서 다년간의 경험을 보유하고 있으며 울란바토르에 두 개의 지점을 두고 있습니다.",11:00:00 AM,10:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/0f/1d/d5/f4/delhi-danbar-dining-room.jpg,https://media-cdn.tripadvisor.com/media/photo-o/0f/1d/d5/da/delhi-danbar.jpg,"Indian, Asian, Wine Bar"
1/26/2023 7:37:51,Naadam,Naadam,"Vegan, meat dishes, wine and beer comprehensive restaurant","비건, 고기 요리, 와인, 맥주 종합 레스토랑","Naadam, a simple yet classic bar and restaurant, is one of the terraces in the heart of Ulaanbaatar during the warm season. The menu ranges from Western to Mongolian to vegetarian options to meat burgers and our signature dish, jalapeño pancakes. The diverse drinks menu consists of a variety of cocktails, spirits, vodkas and international wines to complement the extraordinary taste of the food.","심플하면서도 클래식한 바와 레스토랑인 나담은 따뜻한 계절에 울란바토르 중심부의 테라스 중 하나입니다. 메뉴는 서양식에서 몽골식, 채식 옵션, 고기 버거, 시그니처 요리인 할라피뇨 팬케이크까지 다양합니다. 다양한 음료 메뉴는 다양한 칵테일, 증류주, 보드카 및 세계 각국의 와인으로 구성되어 음식의 특별한 맛을 보완합니다.",10:30:00 AM,10:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/09/c7/a1/69/naadam-main-dining-hall.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/f7/7c/8a/naadam-restaurant-bar.jpg,"Bar, European, Grill, Pub"
1/26/2023 7:39:46,Café Park Restaurant,Café Park Restaurant,"Chinese, Japanese, European, Mongolian Buffet","중식,일본식, 유럽식, 몽골식 뷔페","The all-day buffet restaurant serves a wide variety of cuisines, from breakfast to dinner, from Western to Asian cuisine. The dynamic open kitchen features a live dining area with pastas, soups, dumplings and grills. Outstanding service, a dynamic welcome and a lasting impression are the hallmarks of our hotel restaurant.","온종일 영업하는 뷔페 레스토랑은 조식부터 석식까지, 서양식에서 아시아식까지 다양한 요리를 선보입니다. 역동적인 개방형 주방에는 파스타, 수프, 만두, 그릴이 있는 라이브 다이닝 공간이 있습니다. 뛰어난 서비스, 역동적인 환대, 지속적인 인상은 호텔 레스토랑의 특징입니다.",2:00:00 AM,9:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/0a/6b/ac/0b/cafe-park-restaurant.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/f7/7b/c8/cafe-park.jpg,"International, Contemporary"
1/26/2023 7:42:07,Sakura Sushi Bar,Sakura Sushi Bar,Sushi Japanese restaurant,초밥 일본 레스토랑,"Sushi reimagined through the lens of modern gastronomy. A renewed concept at Kempinski Hotel Khan Palace, Sakura Sushi Bar is Bayanzurkh District's first and only open kitchen sushi bar, offering an intimate conversation with our master chefs and deepening their skills. Surrounded by the warm atmosphere of Sakura Sushi Bar, the cuisine sings the praises of the finest ingredients, including tuna, salmon, yellowtail, and other premium seafood. Up to ten guests can be served at the bar with an additional 20 seats in three VIP rooms. The delicious menu has been carefully crafted to bring out the deepest flavors, and the chef has perfected it with the finest quality fish, the exquisite taste of its garnishes, and the mouth-watering Wagyu beef we use in our restaurant - fresh beef. Imported directly from Japan.","현대 요리법의 렌즈를 통해 재해석된 스시. Kempinski Hotel Khan Palace의 새로운 컨셉인 Sakura Sushi Bar는 Bayanzurkh District 최초이자 유일한 오픈 키친 스시 바로서 마스터 셰프와 친밀한 대화를 나누고 기술을 심화할 수 있습니다. 사쿠라 스시 바의 따뜻한 분위기에 둘러싸여 참치, 연어, 방어 등 고급 해산물을 포함한 최고급 재료를 칭찬하는 요리입니다. 3개의 VIP룸에 추가 20석이 있는 바에서 최대 10명의 손님을 맞이할 수 있습니다. 맛있는 메뉴는 가장 깊은 맛을 이끌어 내기 위해 세심하게 만들어졌으며 요리사는 최고급 생선, 절묘한 맛의 고명, 우리 식당에서 사용하는 군침이 도는 와규 쇠고기 인 신선한 쇠고기로 완성했습니다. 일본에서 직수입합니다.",10:00:00 AM,10:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-w/23/b2/74/bb/renewed-logo.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/23/b2/76/f6/sushi-with-tekka-maki.jpg,"Japanese, Bar, Pub, Wine Bar"
1/26/2023 7:53:15,Little Sheep Hot Pot Restaurant,Little Sheep Hot Pot Restaurant,Hot Pot Restaurant,Hot Pot 레스토랑 ,Little Sheep Hot Pot is the fastest growing restaurant chain in 2017 with over 400 stores worldwide. We specialize in traditional Mongolian nomadic cuisine known for its famous herbs and spices.,Little Sheep Hot Pot은 2017년 전 세계적으로 400개 이상의 매장을 보유한 가장 빠르게 성장하는 레스토랑 체인입니다. 우리는 유명한 허브와 향신료로 유명한 전통 몽골 유목 요리를 전문으로 합니다.,11:00:00 AM,10:30:00 PM,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/5b/b0/fe/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/60/e4/aa/photo0jpg.jpg,"Asian, Soups, Healthy, Mongolian"
1/26/2023 8:02:24,Khajuraho Indian Restaurant,Khajuraho Indian Restaurant,Indian restaurant,인도 레스토랑,"The only authentic Indian restaurant in Mongolia serving mutton, chicken and vegetarian food. An excellent choice of food for children.","양고기, 닭고기 및 채식 요리를 제공하는 몽골 유일의 정통 인도 레스토랑. 아이들을 위한 훌륭한 음식 선택.",10:00:00 AM,9:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/18/0d/cf/27/khajuraho-indian-restaurant.jpg,https://media-cdn.tripadvisor.com/media/photo-o/18/0d/cf/64/khajuraho-indian-restaurant.jpg,Indian
1/26/2023 8:04:01,Brussels Belgian Beer Cafe,Brussels Belgian Beer Cafe,Belgian Beer Shop,벨기 맥주 전문점 ,"Belgian Beer Cafe in Brussels is the first Belgian beer place in Mongolia. We are located in the center of Ulaanbaatar. You will enjoy the unique taste of food and drinks with your colleagues, friends and family.","브뤼셀의 Belgian Beer Cafe는 몽골 최초의 벨기에 맥주 장소입니다. 우리는 울란바토르의 중심에 위치하고 있습니다. 동료, 친구, 가족과 함께 음식과 음료의 독특한 맛을 즐길 수 있습니다.",12:00:00 AM,10:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/11/b0/10/79/brussels-belgian-beer.jpg,https://media-cdn.tripadvisor.com/media/photo-o/11/b0/10/de/brussels-belgian-beer.jpg,"Belgian, European"
1/26/2023 8:06:35,Nazca Restaurant & Lounge,Nazca Restaurant & Lounge,Peruvian Restaurant & Lounge,페루 레스토랑 & 라운지,"At Nazca-Taste of Peru, we want to offer you new experiences, traditional flavors passed down through generations, food with history and passion, Peruvian cuisine now in Mongolia. Peruvian cuisine originates from the Inca population and is a unique cuisine brought by immigrants from Europe, Asia and West Africa.","Nazca-Taste of Peru에서는 새로운 경험, 대를 이어 내려온 전통의 맛, 역사와 열정이 담긴 음식, 지금의 몽골에서 페루 요리를 선보이고자 합니다. 페루 요리는 잉카 인구에서 유래했으며 유럽, 아시아 및 서아프리카에서 온 이민자들이 가져온 독특한 요리입니다.",10:00:00 AM,9:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/f3/82/50/nazca-restaurant-lounge.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/18/90/a5/ef/nazca-taste-of-peru.jpg,"Peruvian, Latin, Spanish, South American"
1/26/2023 8:09:07,Dodo Pizza,Dodo Pizza,Pizza place,피자 전문점 ,"Italian wood-fired pizza. Like the Neapolitans, we served pizza 'al metro' (by the meter).",이탈리아 장작불 피자. 나폴리 사람들처럼 우리는 피자 '알 메트로'(미터 기준)를 제공했습니다.,9:00:00 AM,11:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-m/1280/14/b9/46/ba/2-meter-pizza.jpg,https://media-cdn.tripadvisor.com/media/photo-w/14/b9/4f/16/12-dodo.jpg,"Italian, Pizza"
1/26/2023 8:11:03,Khaan Deli,Khaan Deli,Sandwich Brunch,샌드위치 브런치,"Khaan Delicatessen is an American Diner style Deli serving breakfast and lunch. Includes fresh New York-style BAGELS with a variety of toppings, pancakes, eggs and ham. A variety of breakfast sandwiches; A bagel, egg, cheese and American biscuit breakfast sandwich. For lunch sandwiches; falafel, home-cooked beef, grilled marinated chicken, home-cured ham and cheese. Also available for lunch are Detroit Coney (chili) dogs with hamburgers and fries. Add a chocolate or vanilla MILK SHAKE to wash it all down.","Khaan Delicatessen은 아침과 점심을 제공하는 아메리칸 다이너 스타일의 델리입니다. 다양한 토핑과 팬케이크, 계란, 햄을 곁들인 신선한 뉴욕 스타일의 BAGELS가 포함되어 있습니다. 다양한 아침 샌드위치; 베이글, 계란, 치즈, 아메리칸 비스킷 아침 샌드위치. 점심 샌드위치의 경우; 팔라펠, 집에서 조리한 쇠고기, 양념한 닭고기 구이, 집에서 만든 햄과 치즈. 점심에는 햄버거와 감자튀김을 곁들인 디트로이트 코니(칠리) 개도 있습니다. 초콜릿이나 바닐라 밀크 쉐이크를 추가하여 모두 씻어 내십시오.",10:30:00 AM,10:30:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/06/af/39/8d/khaan-deli.jpg,https://media-cdn.tripadvisor.com/media/photo-o/0e/40/07/fc/khaan-deli-pulled-pork.jpg,"American, Cafe, Deli, Diner"
1/26/2023 8:13:00,Bluefin The Steakhouse,Bluefin The Steakhouse,Steak House,스테이크 하우스 ,"Bluefin The Steak House restaurant has a modern European-style comfortable main hall with a capacity of 250 people and a special hall with a capacity of 40 people, VIP rooms with a capacity of 10-12 people with art and live performances, multi-channel screens, and a wide selection of all kinds of grilled meat and seafood. Skilled team members are providing quality service to their customers.","블루핀 더 스테이크 하우스 레스토랑은 250명을 수용할 수 있는 모던 유러피언 스타일의 편안한 메인홀과 40명을 수용할 수 있는 특별홀, 예술과 라이브 공연이 가능한 10~12명을 수용할 수 있는 VIP룸, 멀티채널 다양한 종류의 고기구이와 해물구이, 숙련된 팀원들이 고객에게 양질의 서비스를 제공하고 있습니다.",12:00:00 AM,10:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/0a/de/84/7a/bluefin-the-steakhouse.jpg,https://media-cdn.tripadvisor.com/media/photo-o/05/49/5e/53/bluefin-the-steakhouse.jpg,"Japanese, American, Steakhouse, Sushi, European"
1/26/2023 8:14:53,MB Beer Plus,MB Beer Plus,German Beer Shop,독일 맥주 전문점,MB Beer Plus is a beer pub that has been open since 2003. They brew German-style beer and serve continental food.,MB 비어 플러스는 2003년부터 문을 연 비어 펍입니다. 그들은 독일 스타일의 맥주를 양조하고 유럽식 음식을 제공합니다.,11:00:00 AM,11:30:00 PM,https://media-cdn.tripadvisor.com/media/photo-w/06/c5/3d/ca/mb-beer-plus.jpg,https://media-cdn.tripadvisor.com/media/photo-w/14/b5/89/50/photo0jpg.jpg,"Bar, Pub, International"
1/26/2023 8:18:05,"Mongolian's restaurant, Shangri-La Mall","Mongolian's restaurant, Shangri-La Mall",Mongolian Mongolian traditional food restaurant,몽골리안 몽골 전통 음식 레스토랑 ,"Mongolian's restaurant is located on the 4th floor of Shangri-La Mall, 200m from Sukhbaatar Square. Mongolian's offers fine dining in a museum-like atmosphere for lunch and dinner. For special celebrations and intimate gatherings, Mongolian's offers private dining options for groups of two and up to 150. Luxurious, intimate, exceptional food and attentive service at the same time.",몽골리안 레스토랑은 수흐바타르 광장에서 200m 떨어진 샹그릴라 몰 4층에 있습니다. Mongolian's는 점심과 저녁 식사로 박물관 같은 분위기에서 훌륭한 식사를 제공합니다. 특별한 축하 행사와 친밀한 모임을 위해 Mongolian's는 2인 그룹부터 최대 150인까지 프라이빗 다이닝 옵션을 제공합니다. 고급스럽고 친밀하며 탁월한 음식과 세심한 서비스를 동시에 제공합니다.,10:30:00 AM,9:30:00 PM,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/ee/b2/85/dining-hall-of-mongolian.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/e8/9b/3a/grigliata.jpg,"Mongolian, European"
1/26/2023 8:21:12,Hard Rock Cafe,Hard Rock Cafe,Hard rock cafe,하드 록 카페,"Hard Rock Cafe is a global phenomenon with 265 cafes that attract approximately 80 million visitors each year. The first Hard Rock Cafe opened on June 14, 1971 in London, England, and from there the brand has expanded to major cities and exotic locations around the world.","Hard Rock Cafe는 매년 약 8천만 명의 방문객을 끌어들이는 265개의 카페가 있는 세계적인 현상입니다. 1971년 6월 14일 영국 런던에 최초의 Hard Rock Cafe가 문을 열었고, 그곳에서 브랜드는 전 세계 주요 도시와 이국적인 장소로 확장되었습니다.",9:00:00 AM,12:00:00 PM,https://media-cdn.tripadvisor.com/media/photo-w/0f/98/3e/cb/photo2jpg.jpg,https://media-cdn.tripadvisor.com/media/photo-o/0e/37/4d/b0/hard-rock-cafe-bbq-combo.jpg,"American, Pub"
1/26/2023 8:23:11,Torres Spanish & Mexican Cuisine,Torres Spanish & Mexican Cuisine,"Spanish, Mexican restaurant","스페인, 멕시코 레스토랑 ","TORRES Spanish and Mexican Restaurant serves an impressive Spanish and Mexican menu with Asian influences in an upscale, comfortable setting.",TORRES 스페인 및 멕시코 레스토랑은 고급스럽고 편안한 분위기에서 아시아의 영향을 받은 인상적인 스페인 및 멕시코 메뉴를 제공합니다.,11:30:00 AM,11:30:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/12/7a/2b/d2/torres-spanish-mexican.jpg,https://media-cdn.tripadvisor.com/media/photo-w/15/1f/e2/9c/photo0jpg.jpg,"Spanish, Mexican"
1/26/2023 8:25:26,Tenger Restaurant,Tenger Restaurant,French restaurant,프랑스 레스토랑 ,"The newly renovated Sky Restaurant is located on the 1st floor of Kempinski Hotel Han Palace. Renovated in January 2018, this 5-star fine dining restaurant offers a contemporary atmosphere with cuisine specially crafted by a top French chef.",새롭게 단장한 Sky Restaurant은 Kempinski Hotel Han Palace 1층에 있습니다. 2018년 1월에 개조된 이 5성급 고급 레스토랑은 최고의 프랑스 셰프가 특별히 만든 요리와 함께 현대적인 분위기를 제공합니다.,10:00:00 AM,10:30:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/12/b1/63/8a/getlstd-property-photo.jpg,https://media-cdn.tripadvisor.com/media/photo-o/12/f3/eb/bb/sunday-brunch-at-new.jpg,"International, European, Asian, Mongolian, Healthy"
1/26/2023 8:55:32,Edge Bar,Edge Bar,Bar & Lounge,바&라운지 ,"Located on the 17th floor at the top of the most fashionable place in the city, ``Edge Bar'' restaurant offers drinks and BBQ in the perfect environment to relax and unwind. at the same time view of Mt.","도시에서 가장 패셔너블한 장소의 맨 위 17층에 위치한 ""Edge Bar"" 레스토랑은 긴장을 풀고 긴장을 풀기에 완벽한 환경에서 음료와 BBQ를 제공합니다. 동시에 후지산이 보인다.",9:30:00 AM,11:30:00 PM,https://media-cdn.tripadvisor.com/media/photo-o/04/95/60/a2/edge-bar.jpg,https://media-cdn.tripadvisor.com/media/photo-w/06/11/c7/e2/edge-bar.jpg,"Bar, Barbecue, Pub"
